" país"," ciudad","código"," nombre"
"USA","Atlanta","ATL","Hartsfield Int."
"USA","Baltimore","BWI","Baltimore-Wash Int."
"USA","Boston","BOS","Logan Int."
"USA","Chicago","ORD","O'Hare-International"
"USA","Chicago","MDW","Midway"
"USA","Chicago","CGX","Meigs Field"
"USA","Dallas","DFW","Dallas/Ft.Worth Int."
"USA","Houston","HOU","Hobby"
"USA","Houston","IAH","George Bush"
"USA","Los Angeles","LAX","International"
"USA","Memphis","MEM","International"
"USA","Miami","MIA","International"
"USA","Nueva Orleans","MSY","International"
"USA","Nueva York","JFK","J. F. Kennedy Int."
"USA","Nueva York","LGA","La Guardia"
"USA","Nueva York","EWR","Newark Int."
"USA","Portland","PDX","International"
"USA","San Francisco","SFO","International"
"USA","San Francisco","OAK","Metropolitan Oakland"
"USA","Seattle","SEA","Seattle-Tacoma Int."
"USA","Washington","IAD","Dulles Int."
"USA","Washington","DCA","Reagan Int."
"USA","Washington","BWI","Baltimore/Washington Int."
"Venezuela","Caracas","CCS","Simón Bolívar"
"Venezuela","Maracaibo","MAR","La Chinita"
"Venezuela","Porlamar","PMV","Del Caribe"
"Yugoslavia","Belgrado","BEG","Belgrade"
